feature_type,density_column,n_chromosomes,pearson_r,pearson_pvalue,spearman_rho,spearman_pvalue
gene,gene_density_per_mb,17,0.43087068557357167,0.08423147874351643,0.18382352941176472,0.4800344013399135
exon,exon_density_per_mb,17,,,,
tRNA,tRNA_density_per_mb,17,0.02440191288073044,0.9259344009307491,-0.06372549019607844,0.808021077411703
snoRNA,snoRNA_density_per_mb,17,0.23889748127370544,0.3557765234363901,0.3237278352189709,0.20495287777210983
